id,nama_obat,text
0,Antasida Doen Tablet Kunyah,"
Nama Obat: Antasida Doen Tablet Kunyah

Kategori Penyakit:
lambung

Indikasi:
Obat sakit maag untuk mengurangi nyeri lambung yang disebabkan oleh kelebihan asam lambung dengan gejala seperti mual, perih kembung.

Dosis:
1-2 tablet, 3-4 kali per hari. | 0.5-1 tablet, 3-4 kali per hari

Efek Samping:
kadang-kadang terjadi konstipasi, diare | Mual, muntah | Hypophosphatemia osteomalacia (pada pemberian dosis besar untuk jangka lama bila kadar phosphate rendah) | Dialysis dementis pada pemberian jangka panjang pada pasien dialisis

Kontraindikasi:
Disfungsi ginjal berat | hipersensitif | obstruksi saluran pencernaan | pasien yang sangat lemah

Interaksi Obat:
Aluminium hydroxide akan mengurangi absorpsi bermacam- macam vitamin Tetracyclin

Komposisi:
Aluminium Hydroxide | Magnesium Hydroxide

Harga:
2000 | 16000

Aturan Pemakaian:
Sebaiknya diberikan pada saat perut kosong | Berikan 1-2 jam setelah makan sebelum tidur | Kunyah tablet degan baik sebelum ditelan

Jangka Waktu Penggunaan:
Jangan digunakan selama 2 minggu
"
1,Dexanta Tablet Kunyah,"
Nama Obat: Dexanta Tablet Kunyah

Kategori Penyakit:
lambung

Indikasi:
Mengurangi gejala kelebihan asam lambung, gastritis, tukak lambung, tukak usus dua belas jari seperti mual, nyeri lambung, nyeri ulu hati, kembung perasaan penuh pada lambung

Dosis:
3 x sehari 1-2 tablet kunyah

Efek Samping:
Konstipasi | diare | mual | muntah | Gejala akan hilang bila pemakaian obat dihentikan

Kontraindikasi:
Tidak boleh diberikan pada pasien dengan gangguan fungsi ginjal yang berat

Interaksi Obat:
Pemberian bersama dengan cimetidine atau tetracycline dapat mengurangi absorpsi cimetidine atau tetracycline

Komposisi:
Aluminium Hydroxide | Magnesium Hydroxide | Simethicone

Harga:
3000 | 30000

Aturan Pemakaian:
Diberikan diantara waktu makan | Tablet dikunyah sampai halus sebelum ditelan

Jangka Waktu Penggunaan:
bukan untuk dikonsumsi secara rutin atau jangka panjang
"
2,Esemag Cair,"
Nama Obat: Esemag Cair

Kategori Penyakit:
lambung

Indikasi:
Membantu meringankan gangguan lambung, seperti mual, muntah, rasa perih atau tidak enak di ulu hati.

Dosis:
3 x sehari @ 1 sachet

Efek Samping:


Kontraindikasi:
Pada pasien yang memiliki riwayat hipersensitifitas terhadap kandungan komposisi pada produk ini

Interaksi Obat:


Komposisi:
Curcuma domestica Rhizoma Extract | Licorice Extract (Glycyrrhiza glabra Radix) | Phyllanthus niruri Herba Extract | Gula Fruktosa Madu dan bahan lain

Harga:
2000 | 9500

Aturan Pemakaian:
sebelum atau sesudah makan

Jangka Waktu Penggunaan:

"
3,Gastrucid Cair,"
Nama Obat: Gastrucid Cair

Kategori Penyakit:
lambung

Indikasi:
Mengurangi gejala kelebihan asam lambung, gastritis, tukak lambung, tukak usus dua belas jari seperti mual, nyeri lambung, nyeri ulu hati, kembung perasaan penuh pada lambung

Dosis:
3-4 kali sehari 1-2 sendok takar 5-10 ml | 3-4 kali sehari 12-1 sendok takar 2.5-5 ml

Efek Samping:
efek_samping yang umum adalah sembelit | diare | mual | muntah | gejala-gejala tersebut akan hilang bila pemakaian obat dihentikan

Kontraindikasi:
Jangan diberikan pada penderita gangguan fungsi ginjal yang berat | karena dapat menimbulkan hipermagnesia kadar magnesium dalam darah meningkat

Interaksi Obat:
Pemberian bersama-sama dengan Cimetidine atau Tetracycline dapat mengurangi absorpsi obat tersebut

Komposisi:
Aluminium Hydroxide | Magnesium Hydroxide | Simethicone

Harga:


Aturan Pemakaian:
Diminum 1 jam sebelum makan atau 2 jam setelah makan menjelang tidur.

Jangka Waktu Penggunaan:
Tidak dianjurkan digunakan terus menerus lebih dari 2 minggu, kecuali atas petunjuk dokter karena dapat menimbulkan ketergantungan fungsi lambung
"
4,Gastrucid Tablet Kunyah,"
Nama Obat: Gastrucid Tablet Kunyah

Kategori Penyakit:
lambung

Indikasi:
Mengurangi gejala kelebihan asam lambung, gastritis, tukak lambung, tukak usus dua belas jari seperti mual, nyeri lambung, nyeri ulu hati, kembung perasaan penuh pada lambung

Dosis:
3 x sehari 1-2 tablet kunyah

Efek Samping:
efek_samping yang umum adalah sembelit | diare | mual | muntah | gejala-gejala tersebut akan hilang bila pemakaian obat dihentikan.

Kontraindikasi:
Jangan diberikan pada penderita gangguan fungsi ginjal yang berat | karena dapat menimbulkan hipermagnesia kadar magnesium dalam darah meningkat

Interaksi Obat:
Pemberian bersama-sama dengan Cimetidine atau Tetracycline dapat mengurangi absorpsi obat tersebut

Komposisi:
Aluminium Hydroxide | Magnesium Hydroxide | Simethicone

Harga:
4500 | 41500

Aturan Pemakaian:
1 jam sesudah makan sebelum tidur malam, tablet dikunyah sampai halus sebelum ditelan

Jangka Waktu Penggunaan:
Tidak dianjurkan digunakan terus menerus lebih dari 2 minggu, kecuali atas petunjuk dokter karena dapat menimbulkan ketergantungan fungsi lambung
"
5,Mylanta Cair,"
Nama Obat: Mylanta Cair

Kategori Penyakit:
lambung

Indikasi:
Untuk mengurangi gejala-gejala yang berhubungan dengan kelebihan asam lambung, gastritis, tukak lambung, tukak usus dua belas jari, dengan gejala- gejala seperti mual, nyeri lambung, nyeri ulu hati

Dosis:
1-2 sendok takar 5-10 mL 3-4 kali sehari | 12 - 1 sendok takar 2.5 - 5 mL, sebanyak 3-4 kali sehari

Efek Samping:
efek_samping yang umum adalah sembelit | diare | mual | muntah | sensasi terbakar di mulut atau tenggorokan | dysgeusia atau persepsi rasa berubah | reaksi hipersensitifitas termasuk ruam | urtikaria | angioedema. Gejala-gejala tersebut akan hilang bila pemakaian obat dihentikan

Kontraindikasi:
Jangan diberikan pada penderita gangguan fungsi ginjal yang berat, karena dapat menimbulkan hipermagnesia (kadar magnesium dalam darah meningkat) | Tidak boleh digunakan pada pasien yang hipersensitif terhadap aluminium hidroksida, magnesium hidroksida, simetikon atau komponen lain dalam formulasi obat ini

Interaksi Obat:
Kecuali atas anjuran dokter, jangan digunakan dalam 2 jam setelah mengkonsumsi obat lain terutama Simetidin Tetrasiklin hindari minuman yang mengandung asam sari buah, wine, dll karena dapat mempengaruhi penyerapan obat. Pasien harus berkonsultasi ke dokter sebelum menggunakan produk ini bersamaan dengan Raltegravir, Dolutegravir, Elvitegravir

Komposisi:
Aluminium hidroksida kering | Magnesium hidroksida | Simetikon

Harga:
17500 | 46500

Aturan Pemakaian:
Dikonsumsi 1 jam sebelum makan atau 2 jam sesudah makan menjelang tidur

Jangka Waktu Penggunaan:
Tidak dianjurkan untuk digunakan secara terus menerus selama lebih dari 2 minggu, kecuali atas petunjuk dokter
"
6,Mylanta Tablet Kunyah,"
Nama Obat: Mylanta Tablet Kunyah

Kategori Penyakit:
lambung

Indikasi:
Untuk mengurangi gejala-gejala yang berhubungan dengan kelebihan asam lambung, gastritis, tukak lambung, tukak usus dua belas jari, dengan gejala- gejala seperti mual, nyeri lambung, nyeri ulu hati

Dosis:
1-2 tablet, diberikan 3-4 kali sehari. | 0.5-1 tablet, diberikan 1-2 kali sehari

Efek Samping:
efek_samping yang umum adalah sembelit | diare | mual | muntah | sensasi terbakar di mulut atau tenggorokan | dysgeusia atau persepsi rasa berubah | reaksi hipersensitifitas termasuk ruam | urtikaria | angioedema. Gejala-gejala tersebut akan hilang bila pemakaian obat dihentikan

Kontraindikasi:
Jangan diberikan pada penderita gangguan fungsi ginjal yang berat, karena dapat menimbulkan hipermagnesia (kadar magnesium dalam darah meningkat) | Tidak boleh digunakan pada pasien yang hipersensitif terhadap aluminium hidroksida, magnesium hidroksida, simetikon atau komponen lain dalam formulasi obat ini

Interaksi Obat:
Kecuali atas anjuran dokter, jangan digunakan dalam 2 jam setelah mengkonsumsi obat lain terutama Simetidin Tetrasiklin hindari minuman yang mengandung asam sari buah, wine, dll karena dapat mempengaruhi penyerapan obat. Pasien harus berkonsultasi ke dokter sebelum menggunakan produk ini bersamaan dengan Raltegravir, Dolutegravir, Elvitegravir

Komposisi:
Aluminium hidroksida kering | Magnesium hidroksida | Simetikon

Harga:
9000 | 87500

Aturan Pemakaian:
Diminum 1 jam sebelum makan atau 2 jam setelah makan menjelang tidur, sebaiknya dikunyah dahulu

Jangka Waktu Penggunaan:
Obat ini dapat bekerja cepat, tetapi tidak boleh digunakan untuk jangka panjang
"
7,New Enzyplex Tablet,"
Nama Obat: New Enzyplex Tablet

Kategori Penyakit:
lambung

Indikasi:
Membantu proses pencernaan, bermanfaat mencegah mengatasi gangguan pencernaan seperti rasa sebah, kembung, rasa penuh pada lambung keadaan-keadaan dimana dibutuhkan peningkatan enzim pencernaan seperti makan terlalu banyak, intoleransi terhadap makanan, salah cerna lain-lain gangguan pencernaan fungsional

Dosis:
1-2 tablet per hari

Efek Samping:
efek_samping yang paling sering terjadi adalah Ketidaknyamanan perut | Konstipasi Dermatitis | Reaksi gastrointestinal lainnya yang jarang terjadi adalah Diarea | Mulas | Mual dan Muntah | Dapat terjadi reaksi hipersensitifitas

Kontraindikasi:
Hipersensitif terhadap salah satu komponen obat | Kontraindikasi untuk pasien yang sedang mengalami pankreatitis akut atau eksaserbasi pankreatitis kronis akut | Kontraindikasi untuk pasien yang menggunakan antikoagulan

Interaksi Obat:
Konsumsi vitamin B6 di atas 5-10 mg per hari dapat mengurangi efektivitas levodopa | Mempengaruhi durasi altretamine dan meningkatkan fotosensitifitas yang diinduksi oleh amiodaron, dan mengurangi konsentrasi fenitoin

Komposisi:
Amilase | Protease | Lipase | Asam desoksikholat | Dimetilpolisiloksan | Vitamin b1 | Vitamin b2 | Vitamin b6 | Vitamin b12 | Niasinamid | Kalsium Pantotenat

Harga:
11500

Aturan Pemakaian:
Pada waktu makan, sesudah makan atau sesuai anjuran petunjuk dokter

Jangka Waktu Penggunaan:

"
8,Plantacid Forte Cair,"
Nama Obat: Plantacid Forte Cair

Kategori Penyakit:
lambung

Indikasi:
Untuk mengurangi gejala-gejala yang berhubungan dengan kelebihan asam lambung, tukak lambung, tukak usus 12 jari dengan gejala-gejala seperti mual dan kembung

Dosis:
3-4 kali sehari 5-10 ml | 3-4 kali sehari 2.5-5 ml. Diberikan 1-2 jam setelah makan dan menjelang tidur

Efek Samping:
Mual | muntah | konstipasi | diare. Gejala-gejala akan hilang bila pemakaian obat dihentikan.

Kontraindikasi:
Penderita yang hipersensitif terhadap aluminium, magnesium, simethicone | Penderita dengan gangguan fungsi ginjal yang berat, karena dapat menimbulkan hipermagnesemia kadar magnesium dalam darah meningkat

Interaksi Obat:
Pemberian bersama-sama dengan simetidin atau tetrasiklin dapat mengurangi absorbsi obat tersebut

Komposisi:
Dried Al. Hydroxide Gel | Mg. Hydroxide | Simethicone

Harga:
38500

Aturan Pemakaian:
Berikan 1 jam sesudah makan dan menjelang tidur malam

Jangka Waktu Penggunaan:
Tidak dianjurkan untuk anak-anak dibawah 6 tahun, dan hati-hati diberikan pada penderita dengan diet rendah phospor dan pemakaian yang lama
"
9,Plantacid Forte Tablet Kunyah,"
Nama Obat: Plantacid Forte Tablet Kunyah

Kategori Penyakit:
lambung

Indikasi:
Untuk mengurangi gejala-gejala yang berhubungan dengan kelebihan asam lambung, tukak lambung, tukak usus 12 jari dengan gejala-gejala seperti mual dan kembung

Dosis:
3-4 x sehari 1 - 2 tablet Plantacid | 3-4 x sehari 12 - 1 tablet Plantacid Plantacid Forte diberikan bila diperlukan dosis antasida yang lebih besar

Efek Samping:
Mual | muntah | konstipasi | diare. Gejala-gejala akan hilang bila pemakaian obat dihentikan.

Kontraindikasi:
Penderita yang hipersensitif terhadap aluminium, magnesium, simethicone | Penderita dengan gangguan fungsi ginjal yang berat, karena dapat menimbulkan hipermagnesemia kadar magnesium dalam darah meningkat

Interaksi Obat:
Pemberian bersama-sama dengan simetidin atau tetrasiklin dapat mengurangi absorbsi obat tersebut

Komposisi:
Dried Al. Hydroxide Gel | Mg. Hydroxide | Simethicone

Harga:
11500 | 102000

Aturan Pemakaian:
Diberikan 1 jam sesudah makan dan menjelang tidur malam

Jangka Waktu Penggunaan:
Tidak dianjurkan untuk anak-anak dibawah 6 tahun, dan hati-hati diberikan pada penderita dengan diet rendah phospor dan pemakaian yang lama
"
